"Description","Price","ProductGroup_ID"
"FIT ONTBIJT",$7.90,107
"TWAALF UURTJE",$12.50,107
"BEER TOWER",$15.00,114
"COCKTAIL TOWER",$25.00,114
"BACO TOWER",$45.00,114
"RAIN BOWN",$8.50,114
"T BONE EXTRA",$35.00,99
"DESPERADOS",$6.50,113
"KINDER MENU",$7.00,99
"BORRITOS VEGETERIAN",$18.00,119
"RADLER BIER",$5.50,113
"RIB EYE",$25.00,99
"APEROL",$7.95,117
"WODKA COLA",$8.50,117
"TOURNEDOS LEIDSEPLEIN",$29.00,99
"DARK BIER",$6.00,113
"1 KROKET FRIET",$8.50,108
"TIA MARIA",$8.00,117
"PIZZA GYROS",$12.00,98
"ORLOOG",$1.75,116
"1 KAASSUFLE  FRIET",$8.50,108
"KIBBELING",$7.90,95
"TEQUILA COSMO",$8.50,114
"KIBBELING",$17.50,101
"STRAWBERRY CAIPIROSKA",$9.90,114
"BACARDI  BOTTLE",$70.00,117
"FRIET ORLOG",$5.55,108
"FRIET  MAYO",$4.75,108
"FRIKADEL MENU",$7.90,120
"KROKET MENU",$7.90,120
"KAASSOFLE MENU",$7.90,120
"MEXICANO MENU",$8.90,120
"HAMBURGER MENU",$9.90,120
"SATE MENU",$9.90,120
"SPARE RIBS",$9.90,120
"CHICKEN WINGS",$9.50,120
"MARGARITA PIZA",$8.00,120
"KIBBELING",$7.90,120
"LONG DRINK",$8.50,117
"TOMATO JUICE",$3.50,105
"VLAMETJES",$8.50,108
"PLATE OF THE DAY",$15.95,99
"ICE CREAM BAL",$2.95,102
"COCA",$3.50,105
"SIMPLY  FRUIT NO 1",$5.50,121
"SIMPLY  FRUIT NO 2",$5.50,121
"SIMPLY  FRUIT NO 3",$5.50,121
"SIMPLY  FRUIT NO 4",$5.50,121
"SIMPLY  FRUIT NO  5",$5.50,121
"SIMPLY   FRUIT  NO 6",$5.50,121
"SIMPLY   FRUIT NO 7",$5.50,121
"SIMPLY  FRUIT  NO 8",$5.50,121
"SIMPLY  FRUIT  NO 9",$5.50,121
"SIMPLY  FRUIT  NO 10",$5.50,121
"MOSHOFILERO  GLAAS",$6.50,115
"BOTTLE  MOSHOFILERO",$24.00,115
"PROSSECO  GLAAS",$6.50,115
"BOTTLE  CHARDONNAY",$26.00,115
"DASTI  GLAAS",$6.95,115
"BOTTLE SAUVINGNON",$24.00,115
"LITTLE ANGEL WHITE GLAAS",$5.75,115
"LITTLE ANGEL WHITE",$27.00,115
"LITTLE ANGEL ROSE GLA",$5.75,115
"ROSE LITTLE ANGEL",$27.00,115
"LITTLE ANGEL RED GLAAS",$6.00,115
"RED LITTLE ANGEL",$30.00,115
"MOUSAKA",$12.00,97
"PASTICIO",$12.00,97
"BIG BEER TAP",$3.95,113
"SANGRIA GLAS",$7.50,115
"RUM COKE",$8.50,117
"MAYONESE",$1.00,116
"CURRY",$1.00,116
"AMERICANO",$2.95,103
"PIZZA BOLOGNESE",$9.00,98
"PIZZAA",$6.00,98
"BIRRAA",$2.00,113
"SIMPLY  FRUIT  NO 11",$5.50,121
"SIMPLY  FRUIT  NO 12",$5.50,121
"PIZZA MARGARITA",$8.90,122
"PIZZA HAWAI",$12.90,122
"PIZZA SALAMI",$12.90,122
"PIZZA TONIJN",$14.50,122
"PIZZA LEIDSE SPECIAL",$15.50,122
"PIZZA GYROS",$13.90,122
"PIZZA VEGETERIAN",$11.50,122
"PIZZA SEA FOOD",$16.90,122
"PIZZA PIRATA",$12.00,122
"PIZZA  KIDS",$8.00,122
"SMALL SALADE",$5.00,96
"SPECIAL SAUS",$1.50,116
"COCKTAIL OFER",$3.50,114
"KIPVLEUGELTJES STARTER",$8.00,108
"BRODJE FRIKANDEL",$5.90,107
"SPECIAL THEE",$5.00,103
"SHISHA MIX",$12.90,104
"SHISHA OFFER",$8.50,104
"CHOCK EXTRA",$1.50,104
"FLAVOUR EXTRA",$2.95,104
"MOXITO STRAWBERY",$9.90,114
"KETCHUP",$1.00,116
"APEROL SPRITS",$8.50,115
"NATUREL",$7.00,134
"EXTRA FRIET",$3.50,95
"FRIKANDEL MAYO CURRY",$4.90,108
"HAWAI",$5.90,135
"LEIDSE SPECIAAL",$6.90,135
"PIZZA BOX",$0.75,116
"GEZOND",$7.00,136
"EI",$5.00,136
"TONIJN SALADE",$7.90,136
"BRIE",$7.90,136
"SPAGHETTI",$9.00,139
"PENNE",$9.50,139
"TAGLIATELA",$9.50,139
"CONCHIGLIE",$9.50,139
"SPAGHETTI",$12.00,140
"PENNE",$12.00,140
"TAGLIATELA",$12.00,140
"CONCHIGLIE",$12.00,140
"SPAGHETTI",$14.00,141
"PENNE",$14.00,141
"TAGLIATELA",$14.00,141
"CONCHIGLIE",$14.00,141
"KERSE/VANILLE/SLAGROOM",$9.00,143
"AARDBEI/VANILLE/SLAGROOM",$9.00,143
"IJS/SLAGROOM/CHOCOLADE",$9.00,143
"VANILLA",$5.50,144
"CHOCOLADE",$5.50,144
"AARDBEI",$5.50,144
"BANAAN",$5.50,144
"MIX",$5.50,144
"AARDBEI/VANILLA/SLAGROOM",$7.75,145
"BANAAN/VANILLA/CHOCOLA",$7.75,145
"SUZETTE",$7.75,145
"KLEIN",$3.50,123
"GROOT",$5.95,123
"KLEIN",$3.50,124
"GROOT",$5.95,124
"KLEIN",$3.50,137
"GROOT",$5.95,137
"KLEIN",$3.50,138
"GROOT",$5.95,138
"KLEIN",$3.50,146
"GROOT",$5.50,146
"KLEIN",$3.50,125
"GROOT",$5.95,125
"JOHNIE WALKER",$5.00,126
"JOHNIE WALKER BLACK",$7.00,126
"CUTTY SARK",$5.00,126
"CANADIAN CLUB",$6.00,126
"DIMPLE",$7.00,126
"CHIVAS",$7.00,126
"BALLANTINES",$5.00,126
"DRAMBOUI",$7.00,126
"BACARDI COLA",$5.00,127
"HAVANNA COLA",$5.00,127
"MALIBU COLA",$5.00,127
"BACARDI LEMON COLA",$5.00,127
"BACARDI LIME COLA",$5.00,127
"COLA",$5.00,129
"LEMON",$5.00,129
"TONIC",$5.00,129
"ORANGE",$5.00,129
"RED BULL",$7.00,129
"RED",$7.00,129
"RED VODKA RED BULL",$7.00,129
"METAXA ***",$4.00,128
"METAXA *****",$5.00,128
"NAPOLEON",$7.00,128
"ALEXANDER",$7.50,128
"METAXA *******",$6.50,128
"ORANGE",$5.00,130
"SPRITE",$5.00,130
"SODA",$5.00,131
"ORANGE",$5.00,131
"SHOT",$2.00,132
"GLASS",$5.00,132
"KAASOUFLE",$4.90,148
"SPEK KAAS",$8.00,153
"OUDE JENEVER",$2.50,147
"JONGE JENEVER",$2.00,147
"GOLD STRIKE",$3.50,147
"APFELKORN",$5.50,147
"BERENBURG",$5.50,147
"COEBERGH",$5.50,147
"SAFARI",$5.00,147
"VIEUX",$5.50,147
"AFTER SCHOK",$3.00,147
"CLUB SANDWICH",$9.50,135
"ZALM",$8.90,136
"MOZZARELLA",$8.90,136
"ROSBIEF",$9.90,136
"LEIDSE SPECIAL",$10.90,136
"ROSBIEF",$8.50,133
"SPEK -KAAS",$8.00,133
"HAM",$8.00,134
"KAAS",$8.00,134
"SPEK",$8.00,134
"HAM-KAAS",$4.90,148
"KAASOUFLE MAYO",$5.95,148
"EI",$4.95,148
"TONIJN",$4.90,148
"BRIE",$5.95,148
"MEXICANO SATE",$7.50,148
"KROKET",$5.50,148
"FRIKANDEL",$5.50,148
"FRIKANDEL MAYO",$5.95,148
"KAAS",$4.90,148
"GLAS",$5.50,149
"KARAF 0,5 L",$9.00,149
"KARAF 1L",$12.00,149
"BOTTLE",$15.00,149
"GLAS",$5.50,150
"KARAF 0,5 L",$9.00,150
"KARAF 1L",$12.00,150
"BOTTLE",$15.00,150
"GLAS",$5.50,151
"KARAF 0,5 L",$9.00,151
"KARAF 1L",$12.00,151
"BOTTLE",$18.00,151
"JOHNIE WALKER",$5.00,152
"JOHNIE WALKER BLACK",$7.00,152
"CUTTY SARK",$5.00,152
"CANADIAN CLUB",$6.00,152
"DIMPLE",$7.00,152
"CHIVAS",$7.00,152
"BALLANTINES",$5.00,152
"DRAMBOUI",$7.00,152
"APPLE",$7.50,153
"NATUREL",$7.00,153
"FILLET AMERICAN",$9.90,136
"NATURELE",$7.50,145
"SPEK KAAS",$8.50,134
"KAAS",$4.50,135
"HETE KIP",$8.90,136
"BROODJE CARPACCIO",$11.90,136
"PEPERSAUS",$12.50,154
"CHAMPION",$12.50,154
"SATESAUS",$12.50,154
"SPEK",$8.00,153
"BROODJE EIRENSALADE",$7.00,136
"KROKETTENDUO",$9.00,136
"HAM",$4.50,135
"MEXICANO MAYO",$7.50,148
"TARTAAR",$8.90,136
"MEXICANO",$6.50,148
"GLAAS WHITE",$4.00,156
"GLAAS ROSE",$4.00,156
"GLAAS RED",$4.00,156
"BOTTLE",$18.00,156
"GLAAS WHITE",$5.50,157
"GLAAS ROSE",$5.50,157
"GLAAS RED",$5.50,157
"BOTTLE   WHITE",$22.00,157
"BOTTLE   ROSE",$22.00,157
"BOTTLE   RED",$24.00,157
"HAM KAAS SPEK",$7.50,135
"FRIKANDEL SPECIAL",$5.90,148
"PASTA",$10.50,142
"LINGUINI",$10.50,142
"PENNE",$10.50,142
"HAM KAAS SPEK",$10.50,134
"HAM KAAS SPEK",$10.50,133
"KROKET MAYO",$6.50,148
"KROKET MUSTARD",$6.50,148
"FRIKANDEL MAYO CURRY",$6.50,148
"VANILLA",$5.50,158
"STRAWBERRY",$5.50,158
"BANANA",$5.50,158
"CHOKOLADE",$5.50,158
"MIX",$6.50,158
"VANILLA CHOKOLADE",$6.50,158
"STRAWBERRY BANANA",$6.50,158
